INFO 2025-04-15 23:40:32,944 autoreload 21000 10304 Watching for file changes with StatReloader
INFO 2025-04-15 23:43:21,875 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,880 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,880 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,887 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,890 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,890 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,894 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,902 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,903 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,908 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,909 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,909 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,917 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,921 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,922 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,926 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,928 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,928 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,936 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,943 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,944 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,950 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,956 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,957 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,961 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,965 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,966 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:21,971 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:21,977 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:21,977 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,518 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,520 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,525 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,531 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,532 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,532 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,539 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,539 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,548 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,554 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,554 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
